aaa分类,关键词,描述内容
实验室相关内容,实验室定位,立足国际机器人技术的发展前沿，面向国民经济发展与科技发展的战略目标和重大需求，凸显航天、国防特色和军民融合发展理念，开展战略性、前沿性、前瞻性的先进机器人基础研究、应用基础研究，通过多学科交叉，积极开展高水平学术交流与合作，将实验室建设成为具有国际影响力的机器人技术自主创新研究、高端人才培养与社会服务的国家级基地。
实验室相关内容,实验室目标,攻克一批机器人领域前沿理论与核心技术，支撑国家重大科技工程的实施，引领我国机器人技术的跨越式发展；突破一批制约机器人产业化的技术瓶颈，促进科研成果的转化，提升国产机器人国际竞争力；培养和汇聚一批高端人才，促进学科交叉融合，形成特色鲜明、国际一流的学科体系。
实验室相关内容,实验室研究方向,形成了多学科交叉融合、富有特色的4个研究方向：机器人设计方法与共性技术、机器人认知与智能行为控制、人机交互与和谐共存的理论与技术、机器人及机电一体化系统集成技术。
实验室相关内容,中科院长光所,中国科学院长春光学精密机械与物理研究所位于吉林省长春市二道区，始建于1952年，1999年由中科院长春光机所（前身为始建于1952年的仪器馆和始建于1953年的机电研究所）与中科院长春物理所（前身为始建于1958年的吉林分院技术物理所）整合成中国科学院长春光学精密机械与物理研究所。研究所主要研究方向是发光学、应用光学、光学工程、精密机械与仪器的研发生产，先后参加了“两弹一星”、“载人航天工程”等多项国家重大工程项目。据2015年12月研究所官网显示，长春光机所园区占地总面积54万平方米，建筑面积25万平方米；18个研究部室，在职职工2100余人，在学研究生近千人。2019年10月26日，中国科学院长春光学精密机械与物理研究所研究员张学军荣获首届中国空间科学学会技术奖。
专业名词解释,机器人技术,机器人技术是综合了计算机、控制论、机构学、信息和传感技术、人工智能、仿生学等多学科而形成的高新技术。
专业名词解释,机械工程,机械工程是一门利用物理定律和化学规律为机械系统作分析、设计、制造及维修的工程学科。机械工程是以有关的自然科学和技术科学为理论基础，结合生产实践中的技术经验，研究和解决在开发、设计、制造、安装、运用和维修各种机械中的全部理论和实际问题的应用学科。机械工程是工学研究生教育一级学科，工程研究生教育一个领域。
专业名词解释,学科评估,"全国高校学科评估是在有关部门的支持下，教育部学位与研究生教育发展中心（简称：学位中心）按照教育部和国务院学位委员会颁布的《学位授予和人才培养学科目录》，对具有研究生培养和学位授予资格的一级学科进行整体水平评估（简称：学科评估），“学科评估”侧重于学术型学位，而专业学位水平评估是“学科评估”的专业学位部分。并根据评估结果进行聚类排位。
此项工作于2002年首次在全国开展，至2017年已完成四轮评估。"
专业名词解释,控制科学与工程,控制科学与工程在本科阶段称为“自动化”，研究生阶段称为“控制科学与工程”。本学科是研究控制的理论、方法、技术及其工程应用的学科，以控制论、系统论、信息论为基础，研究各应用领域内的共性问题，即为了实现控制目标，应如何建立系统的模型，分析其内部与环境信息，采取何种控制与决策行为；而与各应用领域的密切结合，又形成了控制工程丰富多样的内容。本学科点在理论研究与工程实践相结合、学科交叉和军民结合等方面具有明显的特色与优势，对经济发展和国家安全发挥了重大作用，服务领域覆盖互联网、人工智能、通信、IT、智能制造、金融管理、教育咨询、科学研究等领域，工作形式涵盖技术研发、管理咨询、教学科研等。
专业名词解释,电气工程,电气工程（英文：Electrical Engineering，简称:EE），是现代科技领域中的核心学科和关键学科。电气工程的传统、宽泛的定义是指用于创造产生电气与电子系统的有关学科的总和。随着科学技术的飞速发展，电气工程概念已经远超出上述定义的范畴。斯坦福大学的教授指出：“当今的电气工程涵盖了几乎所有与电子、光子有关的工程行为”。正是电子技术的巨大进步才推动了以计算机网络为基础的信息时代的到来，并改变了包括人类的生活与工作模式等各个方面。美国大学电气工程学科，又称电气工程系、电气工程与信息科学系、电气工程与计算机科学系等，主要以计算机和信息术为研究方向和重点。
专业名词解释,一级学科,"一级学科，包括以下2种提法：一是教育部《学位授予和人才培养学科目录》。在高等学校研究生教育体系设置中，一级学科是学科大类，二级学科是其下的学科小类。截至2021年1月14日，共设14个学科门类（哲学、经济学、法学、教育学、文学、历史学、理学、工学、农学、医学、管理学、军事学、艺术学、交叉学科）、112个一级学科。例如，理学下有数学、物理学、地理学等十余个一级学科。
二是国家标准《中华人民共和国学科分类与代码国家标准》（GB/T 13745）。它是经国家技术监督局批准，由国家科委与技术监督局共同提出，国家技术监督局于1992年11月1日正式在北京发布该标准。1993年7月1日正式实施此标准。根据2009修订版，共设5个门类（自然科学类、农业科学类、医药科学类、工程与技术科学类、人文与社会科学类）、58个一级学科。例如，自然科学类下有数学、物理学、地球科学等八个一级学科。"
专业名词解释,可行性论证,可行性论证指对项目的技术先进性和经济合理性进行综合分析和论证，以期达到最佳经济效果的工作方法。一般分机会研究、初步可行性研究和技术经济可行性研究三个阶段。现代可行性论证的关键问题往往在于技术的成熟性、经济的合理性以及技术应用范围、条件和预期的经济效益、社会效益作出正确的分析和评价。
专业名词解释,介入式健康监测,介入式健康检测指直接干预或接触患者以进行健康评估或诊断的医疗手段。
专业名词解释,超微诊断,超微诊断（Ultra-Micro Diagnostics）是一种高度精确和敏感的医学检测技术，它能够检测和分析极小量的生物标志物。这种技术的主要特点是它能够在分子层面上进行诊断，从而实现早期疾病检测和准确的健康监测。
专业名词解释,靶向给药,"靶向给药系统诞生于20世纪70年代,是一种新的制剂技术和工艺,是指药物通过局部或全身血液循环而浓集定位于靶组织.靶器官.靶细胞的给药系统。靶向给药系统也是一种药物载体系统,具有将药物选择性的传输并释放于靶组织，靶器官或者靶细胞,使靶区药物浓度增大,降低其他非靶部位浓度以减少毒副作用的特性。靶向制剂最初只指向狭义的抗癌制剂,随着研究的深入,研究领域的拓宽从给药途径靶向专一性及特效型方面都有突破性进展,靶向制剂发展成为一切具有靶向性的制剂"
专业名词解释,自主能力,自主能力是指机器人在没有人为直接控制的情况下，能够独立完成任务和导航的能力。机器人的自主能力设计环境感知，数据处理与决策，自主导航，学习与自适应，交互能力等多方面。
专业名词解释,带载能力,无人机是一种能够独立飞行的机器人，具有携带和运输物品的能力。无人机的载荷能力取决于其自身结构设计和电池容量等因素。小型无人机可以携带数百克的负荷，而大型无人机则可携带数千克的货物。
专业名词解释,巡航能力,小型飞行器的巡航能力通常指在飞行过程中长时间保持稳定飞行状态的能力。巡航能力受续航时间，飞行稳定性，自动导航和控制系统，飞行距离以及有效载荷的影响。
专业名词解释,中国优秀工业设计金奖,"中国优秀工业设计奖是中国工业设计领域唯一经中央批准开展的国家政府奖项，由工业和信息化部主办。奖项旨在表彰具有引领性、前瞻性设计创新的项目及单位，全面检验和展示中国工业设计成果，营造全社会重视工业设计的良好氛围，有利于促进工业设计创新发展，助推制造强国建设。工业设计是创意创新特点突出的行业，其产品凝聚了科技、文化、艺术、智慧等元素，有利于丰富制造业产品品种，提升产品附加值。《中国制造2025》明确提出，设立国家工业设计奖，激发全社会创新设计的积极性和主动性。

2012年、2016年、2018年、2020年相继举办了第一届、第二届、第三届和第四届中国优秀工业设计奖，均取得了良好的社会反响。设立金奖10个、银奖20个、铜奖30个，分为产品设计奖和概念作品奖(概念作品奖占比不超过20%)。2018年哈尔滨工业大学设计的自主变形机器人获得唯一概念设计奖。"
专业名词解释,自由度,自由度是根据机械原理，机构具有确定运动时所必须给定的独立运动参数的数目（亦即为了使机构的位置得以确定，必须给定的独立的广义坐标的数目），其数目常以F表示。如果一个构件组合体的自由度F大于0，他就可以成为一个机构，即表明各构件间可有相对运动；如果F=0，则它将是一个结构（structure），即已退化为一个构件。机构自由度又有平面机构自由度和空间机构自由度。一个原动件只能提供一个独立参数。
专业名词解释,手持电动工具,手持电动工具，指的是便携式的电动工具，可直接用手操作无需其他辅助装置。
专业名词解释,国家技术发明奖,国家技术发明奖，授予运用科学技术知识做出产品、工艺、材料及其系统等重大技术发明的中国公民。产品包括各种仪器、设备、器械、工具、零部件以及生物新品种等；工艺包括工业、农业、医疗卫生和国家安全等领域的各种技术方法；材料包括用各种技术方法获得的新物质等；系统是指产品、工艺和材料的技术综合。 技术发明是指利用自然规律首创并成功地用于改造客观世界的技术新成果。它一般是与生产有关的新技术，如在国民经济某一技术领域中提供了新的、先进的、效益好的新技术。
专业名词解释,筛网轮构型,筛网轮构型是一种用于筛选和过滤的装置，它通常由一系列按一定规律排列的筛网组成。这些筛网按照设计要求进行构型，以确保其能够有效地过滤和筛选出不同大小和形状的颗粒或物质。
专业名词解释,轮步式,轮步复合行走模式，车轮具有两种状态，一种是和轮式移动车辆相同的驱动模式，另一种是和轮式移动车辆不同的制动模式。轮步复合式移动系统，轮式模式下具有轮式行走的效率，轮步复合模式下具备步式行走的高通过性。
专业名词解释,非结构环境,非结构环境是指表面材质性能不均，结构及尺寸变化不规律且不稳定，环境信息非固定、不可知、不可描述的环境。在非结构化环境中，通过工具或手段去认知环境、收集数据、处理信息，达到目标环境的稳定、可认知、可描述。
专业名词解释,人口老龄化,人口老龄化是指人口生育率降低和人均寿命延长导致的总人口中因年轻人口数量减少、年长人口数量增加而导致的老年人口比例相应增长的动态。
专业名词解释,智能化新时代,智能化新时代是指一个以人工智能等新一代信息技术为支撑，推动教育转型和变革的时期。这个时期，信息技术能够主动挖掘教育数据、提供智能服务，重塑教育生态，实现智慧教育。智能化代表了事物在技术支持下满足人们需求的属性，例如无人驾驶汽车等。智能化也意味着新媒体通过智能技术的应用，具备类似于人类的感知、记忆、思维、学习、自适应和决策能力，在各种场景中以人类需求为中心，对随机性的外部环境做出决策并付诸行动。
专业名词解释,人机融合,人机融合是指人与机器或计算机技术之间的紧密融合关系，旨在提高人类的认知、生理能力和生活质量。它涵盖多个领域，包括生物技术、脑机接口、增强现实等，通过智能算法和系统的帮助，使人类能够更高效地执行任务。人机融合可以增强人类的感知、认知和智能，实现更复杂的交互和沟通。它正在改变许多领域，包括教育、医疗、制造等，并推动未来的发展和创新。
专业名词解释,智能感知,智能感知是指通过各种传感器和算法，使智能系统能够感知和理解周围环境的能力。它是人工智能领域的一个重要研究方向，也是实现智能化应用的关键技术之一。智能感知技术的核心是将物理世界中的信息转化为计算机可处理的数字信号。这些信息可以来自于各种传感器，如摄像头、麦克风、温度传感器等。通过这些传感器获取的数据，可以被输入到智能系统中，经过算法的处理和分析，从而实现对环境的感知和理解。
专业名词解释,交互控制,交互控制指的是在人机交互过程中，对系统进行有意识地干预和调整，以达到特定目标的过程。
专业名词解释,地震救援,地震救援主要是指迅速搜索与营救由于地震造成的建筑物破坏而被压埋人员的举动。在地震发生后展开救援的第一步是搜索工作。而在搜索之前必须要进行正确的区域、场所的划分和设定，现场必须实施警戒，严格控制人员出入，设立工作区、装备区、指挥部等，这样才能提供良好的搜索环境，提高搜索效率。能带来更多人员的幸存。
专业名词解释,火灾救援,火灾救援是一系列紧急响应措施，旨在控制和扑灭火灾，同时保护和救助受火灾威胁的人员、财产和环境。
专业名词解释,核工业,核工业是核能开发、利用的综合性新兴工业部门。包括放射性地质勘探、铀矿开采、水法冶金、铀精制、铀同位素分离、核燃料元件制造、各种类型反应堆、核电站、乏燃料后处理、放射性废物的处理与处置、锂同位素分离、放射性同位素生产、核武器生产等生产企业和科研、设计单位。在国民经济中具有重要作用：利用核能使之转变为电能、热能和机械动力，可获得安全、清洁、热值高的能源；提供多种放射性同位素产品、同位素仪器仪表及辐射技术，在辐射加工、食品保鲜、医疗诊断等方面发挥特殊效能；极大地促进冶金、化工、机械制造、电子、辐射化学、核医学、核电子学等领域发展。
专业名词解释,单人复杂作业,大飞机制造过程中的“单人复杂作业”指的是在飞机制造过程中，由单个工人独立完成的复杂和技术要求高的任务。这类作业通常涉及对飞机的关键部件或系统进行精细和专业的操作，要求工人具备高度的技能和专业知识。这些作业可能包括：精密组装，电气和电子系统安装，航空系统调试，结构检查和修复，涂装和表面处理以及质量控制检验等。
专业名词解释,国家自然科学基金,"20世纪80年代初，为推动中国科技体制改革，变革科研经费拨款方式，中国科学院89位院士(学部委员)致函党中央、国务院，建议借鉴国际成功经验，设立面向全国的自然科学基金，得到党中央、国务院的首肯。随后，在小平同志的亲切关怀下，国务院于1986年2月14日正式批准成立国家自然科学基金委员会（简称自然科学基金委，英文名称为National Natural Science Foundation of China，缩写为NSFC）。 
国家自然科学基金坚持支持基础研究，逐渐形成和发展了由研究项目、人才项目和环境条件项目三大系列组成的资助格局。三十多年来，自然科学基金在推动中国自然科学基础研究的发展，促进基础学科建设，发现、培养优秀科技人才等方面取得了巨大成绩。
国家自然科学基金重大研究计划是现阶段国家自然基金中层次最高、资助力度最大、权威性最强的项目类别，主要围绕国家重大战略需求和重大科学前沿，凝练科学目标，凝聚优势力量，形成具有相对统一目标或方向的项目集群，提升中国基础研究的原始创新能力，为国民经济、社会发展和国家安全提供科学支撑。 
2023年2月28日，国家统计局发布《中华人民共和国2022年国民经济和社会发展统计公报》，初步核算，2022年国家自然科学基金共资助5.19万个项目。"
专业名词解释,863计划,"“国家高技术研究发展计划”（简称863计划）是科学家的战略眼光与政治家的高瞻远瞩相结合的产物，凝练了中国发展高科技的战略需求。1986年国务院组织了全国200多位科学家对计划建议进行了大半年的论证，在中国科学技术需要急起直追的年代，863计划的实施有力推动了中国高技术的进步   。
2016年，随着国家重点研发计划的出台，863计划结束了自己的历史使命 。"
专业名词解释,国家重点研发计划,"国家重点研发计划是当前我国最高级别的研发项目   。英文全称：“National Key Research and Development Program of China”。国家重点研发计划由原来的国家重点基础研究发展计划（973计划）、国家高技术研究发展计划（863计划）、国家科技支撑计划、国际科技合作与交流专项、产业技术研究与开发基金和公益性行业科研专项等整合而成，是针对事关国计民生的重大社会公益性研究，以及事关产业核心竞争力、整体自主创新能力和国家安全的战略性、基础性、前瞻性重大科学问题、重大共性关键技术和产品，为国民经济和社会发展主要领域提供持续性的支撑和引领。
国家重点研发计划，针对事关国计民生的重大社会公益性研究，以及事关产业核心竞争力、整体自主创新能力和国家安全的重大科学技术问题，突破国民经济和社会发展主要领域的技术瓶颈。"
专业名词解释,精确主从控制,主从控制，即建立主手和从手之间的映射关系，并根据此映射关系设计相应的控制方法实现主手对从手的完全控制。
专业名词解释,狭小空间精准操作,医疗机器人的狭小空间精准操作是指医疗机器人在人体内部或其他狭窄空间内进行精细、准确的操作能力。这项能力在许多医疗程序中至关重要，尤其是在微创手术和一些复杂的医疗操作中。
专业名词解释,风险分析与安全控制,医疗机器人的风险分析与安全控制是指对医疗机器人在设计、制造、运行和维护过程中可能出现的风险进行系统的分析，并采取措施来控制或减轻这些风险，以保证患者和医疗人员的安全。
专业名词解释,动物与临床试验,临床前动物实验研究是评价和验证医疗器械可行性、安全性和有效性的重要手段之一，特别是针对一些尚未大量投入临床应用的高风险医疗器械及创新医疗器械，在开展临床试验研究之前需要先开展动物实验研究。而临床试验（ClinicalTrial），指任何在人体（病人或健康志愿者）进行药物的系统性研究，以证实或揭示试验药物的作用、不良反应及/或试验药物的吸收、分布、代谢和排泄，目的是确定试验药物的疗效与安全性。 临床试验一般分为I、II、III、IV期临床试验和EAP临床试验。
专业名词解释,系统集成,系统集成( system integration)通常是指将软件、硬件与通信技术组合起来为用户解决信息处理问题的业务，集成的各个分离部分原本就是一个个独立的系统，集成后的整体的各部分之间能彼此有机地和协调地工作，以发挥整体效益，达到整体优化的目的。
专业名词解释,手术机器人系统,手术机器人系统是一种高度先进的医疗设备，用于协助或部分替代外科医生进行各种手术。这些系统结合了精密的机械臂、高级软件控制、精确的图像引导以及时的反馈，使手术更加精准、微创和安全。
专业名词解释,国家发明专利,国家发明专利是专利的一种。我国专利法规定可以获得专利保护的发明创造有发明专利、实用新型专利和外观设计专利三种，其中发明专利是最主要的一种。
专业名词解释,国产腔镜手术医疗器械,据国家药监局官网及各大药企公告不完全梳理发现，包括胸腹腔内窥镜手术控制系统在内，目前已有6款国产腔镜机器人获批，分别为威高的妙手S腔镜手术机器人、微创医疗的Toumai腔镜手术机器人、康多的腔镜手术机器人、精锋医疗的多孔腔镜手术机器人以及思哲睿的腔镜手术机器人SR1000。
专业名词解释,产业化,"产业化是指某种产业在市场经济条件下，以行业需求为导向，以实现效益为目标，依靠专业服务和质量管理，形成的系列化和品牌化的经营方式和组织形式。 [1] 
“产业化”的概念是从“产业”的概念发展而来的。“产业”这个概念是属居于微观经济的细胞与宏观经济的单位之间的一个“集合概念”，它是具有某种同一属性的企业或组织的集合，又是国民经济以某一标准划分的部分的总和。"
专业名词解释,机电一体化数字化装备, 机器人与机电一体化 大量智能化、数字化的工业机器人，逐渐的取代传统的人工流水线作业模式，智能工业机器人的广泛使用，不仅能够解放了大量的人力，同时还显著的提高了工业生产水平和质量。此外，随着机电一体化技术在工业机器人优化、升级和换代中的应用，能够推动机电一体化技术逐渐的向数字化、智能化以及机械化方向发展。
专业名词解释,工业机器人关键技术,"工业机器人关键技术包括：
 一、开放性模块化的控制系统体系结构：采用分布式CPU计算机结构，分为机器人控制 运动控制器，光电隔离控制板、传感器处理板和编程示教盒等。
 二、模块化层次化的控制器软件系统：软件系统建立在基于开源的实时多任务操作系统上，采用分层和模块化结构设计，以实现软件系统的开放性。整个控制器软件系统分为三个层次：硬件驱动层、核心层和应用层。
 三、机器人的故障诊断与安全维护技术：通过各种信息，对机器人故障进行诊断，并进行相应维护，是保证机器人安全性的关键技术。
 四、网络化机器人控制器技术：当前机器人的应用工程由单台机器人工作站向机器人生产线发展，机器人控制器的联网技术变得越来越重要。控制器上具有串口、现场总线及以太网的联网功能。可用于机器人控制器之间和机器人控制器同上位机的通讯，便于对机器人生产线进行监控、诊断和管理。
 工业机器人控制技术的主要任务就是控制工业机器人在工作空间中的运动位置、姿态和轨迹、操作顺序及动作的时间等。具有编程简单、软件菜单操作、友好的人机交互界面、在线操作提示和使用方便等特点。和计算机、网络技术一样，工业机器人的广泛应用正在日益改变着人类的生产和生活方式。"
专业名词解释,德国红点奖,红点奖 ，源自德国。是与IF设计奖齐名的一个工业设计大奖，是世界上知名设计竞赛中最大最有影响的竞赛。红点奖与德国“IF奖”、美国“IDEA奖”一起并称为世界三大设计奖。
专业名词解释,中国设计红星奖,德国红点奖机构于2015年在中国设立“中国好设计”奖 （China Good Design）简称CGD，发起针对中国的全新国际化设计奖项。
专业名词解释,惯性约束核聚变,"惯性约束聚变, 是利用粒子的惯性作用来约束粒子本身，从而实现核聚变反应的一种方法。其基本思想是：利用驱动器提供的能量使靶丸中的核聚变燃料（氘、氚）形成等离子体，在这些等离子体粒子由于自身惯性作用还来不及向四周飞散的极短时间内，通过向心爆聚被压缩到高温、高密度状态，从而发生核聚变反应。由于这种核聚变是依靠等离子体粒子自身的惯性约束作用而实现的，因而称为惯性约束聚变。详细介绍了其理论依据以及技术原理、实现惯性约束聚变的关键技术以及在我国的发展状况。"
专业名词解释,美国国家点火工程装置,国家点火装置 是美国科学家研制的、世界最大的激光约束聚变装置。由美国加利福尼亚州劳伦斯·利弗莫尔国家实验室研制。可把200万焦的能量通过192条激光束聚焦到一个很小的点上，从而产生类似恒星和巨大行星的内核以及核爆炸时的温度和压力。在此基础上，可以实施此前在地球上无法实施的许多试验。该计划1997年开工，2009年正式落成，其最终目标是点火实现自持聚变反应。
专业名词解释,机器人核心技术,机器人核心技术通常指的是支撑机器人设计、制造和运作的关键技术和知识领域。包括：机械工程：涉及机器人的物理结构设计，包括机械臂、关节、驱动器（如伺服电机）和其他机械组件的设计和制造。电子工程：关于机器人的电路设计、电子组件（如传感器和控制系统）的集成和电力管理。控制理论：涉及对机器人运动和操作的控制算法，包括稳定性、响应速度和精确度的控制。计算机科学：包括机器人的编程、软件开发、人工智能和机器学习算法，以及数据处理和分析。传感器技术：机器人通过传感器感知环境，包括视觉传感器（如摄像头）、力觉和触觉传感器、超声波传感器等。人工智能和机器学习：让机器人能够自主学习和适应环境，提高决策能力和任务执行的自主性。人机交互（HMI）：涉及机器人的用户界面设计、语音和图像识别技术，以及交互式控制系统。机器人操作系统：如ROS（Robot Operating System），提供了机器人编程和控制的标准化框架。网络和通信技术：使机器人能够通过无线网络等方式与外界通信，进行数据传输和远程控制。
专业名词解释,机器人化装备,机器人化装备研究方向主要围绕国家发展规划，针对重点行业的需求，进行特需机器人等装备的设计与研发工作，努力促进我国机器人装备水平提高和产业化。在跨学科系统集成、复杂系统控制、高动态特性装备研发等方面，取得了一系列成果，积累了大量的理论研究成果和工程技术经验。
专业名词解释,英国IVC认证,UK-IVC（英国验证中心）。哈尔滨工业大学与中核武汉核电运行技术股份有限公司联合研制成功具有自主知识产权的核反应堆压力容器检查机器人系统，是国内首个通过 IVC 认证的核反应堆压力容器检查机器人系统。
专业名词解释,秦山一期核电站,秦山一期核电厂是我国自行设计、建造和运营管理的第一座30万千瓦压水堆核电厂，地处浙江省海盐县。由中国核工业集团公司100%控股，秦山核电有限公司负责电站的运营管理。
专业名词解释,秦山二期核电站,秦山第二核电厂位于东海之滨，钱塘江入海口北岸，坐落在海盐县秦山镇杨柳山，与秦山核电一期、三期毗邻，东临杭州湾，地处华东电网负荷中心。二期工程依然由中国自主承担设计、建造和运营任务，采用压水反应堆技术，安装4台60万千瓦发电机组。由中国核工业集团公司、浙江省电力开发公司、申能（集团）有限公司、江苏省国信资产管理集团有限公司、中电投核电有限公司、安徽省能源集团有限公司共同出资兴建，中国核工业集团公司控股。核电厂的设计寿命为40年
专业名词解释,岭澳核电站,岭澳核电站是1994年2月大亚湾核电站第一台机组胜利投产时，国务院决定兴建的广东第二座大型商用核电站。岭澳核电站规划建设4台百万千瓦级压水堆发电机组。首期建设2台，采用大亚湾核电站技术翻版加改进方案。在建设中加大了自主化和国产化力度，实现了建安施工自主化，主承包商全部由中方单位承担。
专业名词解释,福清核电站,福清核电站，工程规模为6台百万千瓦级压水堆核电机组。福清百万千瓦核电机组是目前中国自主化、国产化程度最高的核电机组，安全性非常可靠。一期工程建设的两台百万千瓦级机组，计划分别于2013年、2014年建成发电。福清核电站，可望成为中国核电发展技术水平、管理模式提升的一个符号，也将是中国核电迈入发展快车道的一个缩影。
专业名词解释,通用技术标准,"《通用技术标准》是1995年水利电力出版社出版的图书。本汇编由中国电力企业联合会组织有关专家汇集、整理而成。内容
包括水利水电枢纽工程等级划分及设计标准，水利水电工程可行性、初
步设计报告编制规程，小型水力发电站设计规范，水利水电工程设计防
火规范，水利水电工程施工组织设计规范，水利水电工程制图标准等。
本汇编通用性强，适合水利水电行业所有专业使用。
本汇编可供水利水电行业的设计、施工、管理、科研、教学人员使
用，亦可供其他标准化部门参考。"
